Ano,Colocação,Clube,Pontos,Vitórias,Empates,Derrotas,Gols Feitos,Gols Sofridos,Saldos de Gols,Cartões Amarelos,Cartões Vermelhos,Aproveitamento (%)
2012,1,Fluminense - RJ,77,22,11,5,61,33,28,85,3,67
2012,2,Atlético - MG,72,20,12,6,64,37,27,104,10,63
2012,3,Grêmio - RS,71,20,11,7,56,33,23,102,9,62
2012,4,São Paulo - SP,66,20,6,12,59,37,22,93,6,57
2012,5,Vasco da Gama - RJ,58,16,10,12,45,44,1,91,3,50
2012,6,Corinthians - SP,57,15,12,11,51,39,12,87,3,50
2012,7,Botafogo - RJ,55,15,10,13,60,50,10,75,3,48
2012,8,Santos - SP,53,13,14,11,50,44,6,82,4,46
2012,9,Cruzeiro - MG,52,15,7,16,47,51,-4,121,9,45
2012,10,Internacional - RS,52,13,13,12,44,40,4,106,6,45
2012,11,Flamengo - RJ,50,12,14,12,39,46,-7,81,6,43
2012,12,Náutico - PE,49,14,7,17,44,51,-7,86,6,43
2012,13,Coritiba - PR,48,14,6,18,53,60,-7,99,7,42
2012,14,Ponte Preta - SP,48,12,12,14,37,44,-7,94,2,42
2012,15,Bahia - BA,47,11,14,13,37,41,-4,112,2,41
2012,16,Portuguesa - SP,45,10,15,13,39,41,-2,87,4,39
2012,17,Sport - PE,41,10,11,17,39,56,-17,85,8,36
2012,18,Palmeiras - SP,34,9,7,22,39,54,-15,106,6,29
2012,19,Atlético - GO,30,7,9,22,37,67,-30,102,6,26
2012,20,Figueirense - SC,30,7,9,22,39,72,-33,95,9,26
2013,1,Cruzeiro - MG,76,23,7,8,77,37,40,73,4,66
2013,2,Grêmio - RS,65,18,11,9,42,35,7,79,6,57
2013,3,Atlético Paranaense - PR,64,18,10,10,65,49,16,92,5,56
2013,4,Botafogo - RJ,61,17,10,11,55,41,14,82,3,53
2013,5,Vitória - BA,59,16,11,11,59,53,6,67,1,51
2013,6,Goiás - GO,59,16,11,11,48,44,4,68,5,51
2013,7,Santos - SP,57,15,12,11,51,38,13,80,3,50
2013,8,Atlético - MG,57,15,12,11,49,38,11,104,9,50
2013,9,São Paulo - SP,50,14,8,16,39,40,-1,88,10,43
2013,10,Corinthians - SP,50,11,17,10,27,22,5,66,3,43
2013,11,Coritiba - PR,48,12,12,14,42,45,-3,101,4,42
2013,12,Bahia - BA,48,12,12,14,37,45,-8,102,7,42
2013,13,Internacional - RS,48,11,15,12,51,52,-1,95,7,42
2013,14,Criciuma - SC,46,13,7,18,49,63,-14,100,6,40
2013,15,Fluminense - RJ,46,12,10,16,43,47,-4,81,11,40
2013,16,Flamengo - RJ,45,12,13,13,43,46,-3,66,5,39
2013,17,Portuguesa - SP,44,12,12,14,50,46,4,89,9,38
2013,18,Vasco da Gama - RJ,44,11,11,16,50,61,-11,92,2,38
2013,19,Ponte Preta - SP,37,9,10,19,37,55,-18,81,4,32
2013,20,Náutico - PE,20,5,5,28,22,79,-57,77,3,17
2014,1,Cruzeiro - MG,80,24,8,6,67,38,29,70,2,70
2014,2,São Paulo - SP,70,20,10,8,59,40,19,92,4,61
2014,3,Internacional - RS,69,21,6,11,53,41,12,92,6,60
2014,4,Corinthians - SP,69,19,12,7,49,31,18,70,3,60
2014,5,Atlético - MG,62,17,11,10,51,38,13,83,2,54
2014,6,Fluminense - RJ,61,17,10,11,61,42,19,75,5,53
2014,7,Grêmio - RS,61,17,10,11,36,24,12,95,3,53
2014,8,Atletico - PR,54,15,9,14,43,42,1,72,1,47
2014,9,Santos - SP,53,15,8,15,42,35,7,71,4,46
2014,10,Flamengo - RJ,52,14,10,14,46,47,-1,67,4,45
2014,11,Sport - PE,52,14,10,14,36,46,-10,74,2,45
2014,12,Goiás - GO,47,13,8,17,38,40,-2,77,2,41
2014,13,Figueirense - SC,47,13,8,17,37,47,-10,92,10,41
2014,14,Coritiba - PR,47,12,11,15,42,45,-3,96,2,41
2014,15,Chapecoense - SC,43,11,10,17,39,44,-5,67,2,37
2014,16,Palmeiras - SP,40,11,7,20,34,59,-25,92,7,35
2014,17,Vitória - BA,38,10,8,20,37,54,-17,78,2,33
2014,18,Bahia - BA,37,9,10,19,31,43,-12,94,7,32
2014,19,Botafogo - RJ,34,9,7,22,31,48,-17,86,9,29
2014,20,Criciuma - SC,32,7,11,20,28,56,-28,114,5,28
2015,1,Corinthians - SP,81,24,9,5,71,31,40,64,2,71
2015,2,Atlético - MG,69,21,6,11,65,47,18,76,4,60
2015,3,Grêmio - RS,68,20,8,10,52,32,20,95,2,59
2015,4,São Paulo - SP,62,18,8,12,53,47,6,73,5,54
2015,5,Internacional - RS,60,17,9,12,39,38,1,101,6,52
2015,6,Sport - PE,59,15,14,9,53,38,15,72,2,51
2015,7,Santos - SP,58,16,10,12,59,41,18,79,9,50
2015,8,Cruzeiro - MG,55,15,10,13,44,35,9,89,5,48
2015,9,Palmeiras - SP,53,15,8,15,60,51,9,91,5,46
2015,10,Atlético - PR,51,14,9,15,43,48,-5,87,7,44
2015,11,Ponte Preta - SP,51,13,12,13,41,40,1,99,5,44
2015,12,Flamengo - RJ,49,15,4,19,45,53,-8,82,6,42
2015,13,Fluminense - RJ,47,14,5,19,40,49,-9,98,10,41
2015,14,Chapecoense - SC,47,12,11,15,34,44,-10,84,3,41
2015,15,Coritiba - PR,44,11,11,16,31,42,-11,113,5,38
2015,16,Figueirense - SC,43,11,10,17,36,50,-14,111,5,37
2015,17,Avaí - SC,42,11,9,18,38,60,-22,119,3,36
2015,18,Vasco da Gama - RJ,41,10,11,17,28,54,-26,108,14,35
2015,19,Goiás - GO,38,10,8,20,39,49,-10,89,3,33
2015,20,Joinville - SC,31,7,10,21,26,48,-22,94,8,27
2016,1,Palmeiras - SP,80,24,8,6,62,32,30,95,0,70
2016,2,Santos - SP,71,22,5,11,59,35,24,74,4,62
2016,3,Flamengo - RJ,71,20,11,7,52,35,17,62,5,62
2016,4,Atlético - MG,62,17,11,10,61,53,8,74,4,55
2016,5,Botafogo - RJ,59,17,8,13,43,39,4,93,2,51
2016,6,Atlético - PR,57,17,6,15,38,32,6,76,1,50
2016,7,Corinthians - SP,55,15,10,13,48,42,6,76,5,48
2016,8,Ponte Preta - SP,53,15,8,15,48,52,-4,97,3,46
2016,9,Grêmio - RS,53,14,11,13,41,44,-3,93,6,46
2016,10,São Paulo - SP,52,14,10,14,44,36,8,87,5,45
2016,11,Chapecoense - SC,52,13,13,12,49,56,-7,75,2,46
2016,12,Cruzeiro - MG,51,14,9,15,48,49,-1,95,9,44
2016,13,Fluminense - RJ,50,13,11,14,45,45,0,86,1,43
2016,14,Sport - PE,47,13,8,17,49,55,-6,81,7,41
2016,15,Coritiba - PR,46,11,13,14,41,42,-1,94,4,40
2016,16,Vitória - BA,45,12,9,17,51,53,-2,101,6,39
2016,17,Internacional - RS,43,11,10,17,35,41,-6,98,5,37
2016,18,Figueirense - SC,37,8,13,17,30,50,-20,86,8,32
2016,19,Santa Cruz - PE,31,8,7,23,45,69,-24,84,6,27
